Ponto;Taxon_binomial
L10AA;Xylopia frutescens
L10AA;Xylopia amazonica
L10AA;Bocageopsis mattogrossensis
L10AA;Aspidosperma obscurinervium
L10AA;Cordia bicolor
L10AA;Tachigali vulgaris
L10AA;Hirtella glandulosa
L10AA;Connarus perrottetii
L10AA;Sloanea sinemariensis
L10AA;Mabea fistulifera
L10AA;Maprounea guianensis
L10AA;Chaetocarpus schomburgkianus
L10AA;Enterolobium schomburgkii
L10AA;Myrcia umbraticola
L10AA;Myrcia multiflora
L10AA;Chaetocarpus schomburgkianus
L10AA;Amaioua guianensis
L10AA;Casearia grandiflora
L10AA;Pouteria ramiflora
L10C;Xylopia amazonica
L10C;Xylopia frutescens
L10C;Himatanthus articulatus
L10C;Cordia bicolor
L10C;Protium unifoliolatum
L10C;Licania kunthiana
L10C;Moquilea egleri
L10C;Connarus perrottetii
L10C;Mabea fistulifera
L10C;Chaetocarpus schomburgkianus
L10C;Casearia grandiflora
L10C;Sacoglottis guianensis
L10C;Myrcia multiflora
L10C;Ouratea discophora
L10C;Casearia grandiflora
L10C;Pouteria ramiflora
L10C;Simarouba amara
L10K;Tapirira guianensis
L10K;Xylopia frutescens
L10K;Guatteria schomburgkiana
L10K;Cordia bicolor
L10K;Protium pilosissimum
L10K;Protium unifoliolatum
L10K;Trattinnickia glaziovii
L10K;Terminalia tetraphylla
L10K;Sloanea sinemariensis
L10K;Chaetocarpus schomburgkianus
L10K;Mabea fistulifera
L10K;Strychnos xinguensis
L10K;Mouriri brachyanthera
L10K;Pseudolmedia macrophylla
L10K;Myrcia multiflora
L10P;Tapirira guianensis
L10P;Xylopia amazonica
L10P;Guatteria schomburgkiana
L10P;Didymopanax morototoni
L10P;Jacaranda copaia
L10P;Protium pilosissimum
L10P;Trattinnickia burseraefolia
L10P;Trattinnickia glaziovii
L10P;Moquilea egleri
L10P;Sloanea sinemariensis
L10P;Ocotea leucoxylon
L10P;Trichilia quadrijuga
L10P;Pseudolmedia macrophylla
L10P;Amaioua guianensis
L10P;Pouteria ramiflora
L2AA;Tapirira guianensis
L2AA;Xylopia amazonica
L2AA;Aspidosperma excelsum
L2AA;Himatanthus articulatus
L2AA;Cordia bicolor
L2AA;Protium pilosissimum
L2AA;Trattinnickia rhoifolia
L2AA;Tachigali vulgaris
L2AA;Licania kunthiana
L2AA;Hirtella glandulosa
L2AA;Connarus perrottetii
L2AA;Diospyros sericea
L2AA;Mabea fistulifera
L2AA;Inga 
L2AA;Ocotea leucoxylon
L2AA;Inga 
L2AA;Myrcia multiflora
L2AA;Dulacia guianensis
L2AA;Amaioua guianensis
L2C;Xylopia amazonica
L2C;Bocageopsis mattogrossensis
L2C;Guatteria schomburgkiana
L2C;Aspidosperma excelsum
L2C;Didymopanax morototoni
L2C;Protium pilosissimum
L2C;Davilla nitida
L2C;Ormosia paraensis
L2C;Ocotea leucoxylon
L2C;Strychnos xinguensis
L2C;Enterolobium schomburgkii
L2C;Pseudolmedia macrophylla
L2C;Chaetocarpus schomburgkianus
L2C;Amaioua guianensis
L2C;Pouteria ramiflora
L2C;Simarouba amara
L2C;Mollia lepidota
L2F;Tapirira guianensis
L2F;Xylopia amazonica
L2F;Aspidosperma excelsum
L2F;Fridericia cinnamomea
L2F;Trattinnickia glaziovii
L2F;Protium pilosissimum
L2F;Protium unifoliolatum
L2F;Sloanea sinemariensis
L2F;Diplotropis purpurea
L2F;Inga 
L2F;Hippocratea volubilis
L2F;Sacoglottis guianensis
L2F;Ocotea leucoxylon
L2F;Strychnos xinguensis
L2F;Mouriri brachyanthera
L2F;Mouriri brachyanthera
L2K;Xylopia amazonica
L2K;Xylopia frutescens
L2K;Aspidosperma excelsum
L2K;Protium pilosissimum
L2K;Dacryodes microcarpa
L2K;Trattinnickia glaziovii
L2K;Moquilea egleri
L2K;Sloanea sinemariensis
L2K;Ocotea leucoxylon
L2K;Miconia unknow
L2K;Trichilia quadrijuga
L2K;Mouriri brachyanthera
L2K;Myrcia multiflora
L2K;Myrcia umbraticola
L2K;Amaioua guianensis
L2K;Zanthoxylum riedelianum
L2P;Tapirira guianensis
L2P;Guatteria schomburgkiana
L2P;Xylopia amazonica
L2P;Secondatia densiflora
L2P;Protium pilosissimum
L2P;Dacryodes microcarpa
L2P;Trattinnickia glaziovii
L2P;Trattinnickia burseraefolia
L2P;Terminalia tetraphylla
L2P;Sloanea sinemariensis
L2P;Ormosia paraensis
L2P;Ocotea leucoxylon
L2P;Miconia unknow
L2P;Trichilia quadrijuga
L2P;Mouriri brachyanthera
L2P;Inga 
L2P;Chaetocarpus schomburgkianus
L2P;Amaioua guianensis
L2P;Micropholis egensis
L2P;Vochysia vismiifolia
L4AA;Xylopia amazonica
L4AA;Xylopia frutescens
L4AA;Cordia bicolor
L4AA;Protium pilosissimum
L4AA;Dacryodes microcarpa
L4AA;Tachigali vulgaris
L4AA;Connarus perrottetii
L4AA;Diospyros sericea
L4AA;Sloanea sinemariensis
L4AA;Chaetocarpus schomburgkianus
L4AA;Mabea fistulifera
L4AA;Ocotea leucoxylon
L4AA;Amaioua guianensis
L4AA;Casearia grandiflora
L4AA;Micropholis egensis
L4AA;Pouteria ramiflora
L4AA;Mollia lepidota
L4C;Tapirira guianensis
L4C;Xylopia amazonica
L4C;Guatteria schomburgkiana
L4C;Xylopia frutescens
L4C;Aspidosperma excelsum
L4C;Cordia bicolor
L4C;Protium pilosissimum
L4C;Trattinnickia rhoifolia
L4C;Sloanea sinemariensis
L4C;Ormosia paraensis
L4C;Ocotea leucoxylon
L4C;Strychnos xinguensis
L4C;Mouriri brachyanthera
L4C;Ouratea discophora
L4C;Amaioua guianensis
L4C;Micropholis egensis
L4K;Xylopia amazonica
L4K;Aspidosperma excelsum
L4K;Cordia bicolor
L4K;Protium pilosissimum
L4K;Trattinnickia glaziovii
L4K;Trattinnickia rhoifolia
L4K;Moquilea egleri
L4K;Sloanea sinemariensis
L4K;Erythroxylum rufum
L4K;Chaetocarpus schomburgkianus
L4K;Ormosia paraensis
L4K;Mouriri brachyanthera
L4K;Amaioua guianensis
L4K;Ferdinandusa guainiae
L4K;Micropholis egensis
L4P;Xylopia amazonica
L4P;Guatteria blepharophylla
L4P;Aspidosperma excelsum
L4P;Protium pilosissimum
L4P;Trattinnickia glaziovii
L4P;Trattinnickia rhoifolia
L4P;Trattinnickia burseraefolia
L4P;Terminalia tetraphylla
L4P;Connarus perrottetii
L4P;Chaetocarpus schomburgkianus
L4P;Sacoglottis guianensis
L4P;Ocotea guianensis
L4P;Strychnos xinguensis
L4P;Enterolobium schomburgkii
L4P;Chaetocarpus schomburgkianus
L4P;Amaioua guianensis
L4P;Pouteria ramiflora
L4P;Mollia lepidota
L6AA;Tapirira guianensis
L6AA;Xylopia amazonica
L6AA;Xylopia frutescens
L6AA;Aspidosperma desmanthum
L6AA;Cuspidaria inaequalis
L6AA;Cordia bicolor
L6AA;Protium pilosissimum
L6AA;Trattinnickia rhoifolia
L6AA;Licania kunthiana
L6AA;Erythroxylum rufum
L6AA;Mabea fistulifera
L6AA;Casearia grandiflora
L6AA;Myrcia multiflora
L6AA;Chaetocarpus schomburgkianus
L6AA;Amaioua guianensis
L6C;Tapirira guianensis
L6C;Guatteria schomburgkiana
L6C;Xylopia amazonica
L6C;Xylopia frutescens
L6C;Aspidosperma excelsum
L6C;Trattinnickia glaziovii
L6C;Dacryodes microcarpa
L6C;Protium pilosissimum
L6C;Licania kunthiana
L6C;Mabea fistulifera
L6C;Ormosia paraensis
L6C;Strychnos xinguensis
L6C;Virola sebifera
L6C;Myrcia multiflora
L6C;Amaioua guianensis
L6C;Casearia grandiflora
L6K;Tapirira guianensis
L6K;Bocageopsis mattogrossensis
L6K;Guatteria schomburgkiana
L6K;Xylopia amazonica
L6K;Xylopia frutescens
L6K;Cordia bicolor
L6K;Protium pilosissimum
L6K;Connarus perrottetii
L6K;Sloanea sinemariensis
L6K;Erythroxylum rufum
L6K;Sacoglottis guianensis
L6K;Ocotea leucoxylon
L6K;Ocotea guianensis
L6K;Ocotea cujumary
L6K;Chaetocarpus schomburgkianus
L6K;Amaioua guianensis
L6K;Ferdinandusa guainiae
L6K;Zanthoxylum riedelianum
L6K;Pouteria ramiflora
L6K;Micropholis egensis
L6P;Aspidosperma excelsum
L6P;Protium pilosissimum
L6P;Trattinnickia burseraefolia
L6P;Moquilea egleri
L6P;Davilla nitida
L6P;Sloanea sinemariensis
L6P;Ocotea leucoxylon
L6P;Trichilia quadrijuga
L6P;Myrcia multiflora
L6P;Amaioua guianensis
L6P;Pouteria ramiflora
L8AA;Guatteria schomburgkiana
L8AA;Xylopia amazonica
L8AA;Aspidosperma desmanthum
L8AA;Aspidosperma excelsum
L8AA;Cordia bicolor
L8AA;Protium pilosissimum
L8AA;Trattinnickia glaziovii
L8AA;Dacryodes microcarpa
L8AA;Hymenaea courbaril
L8AA;Moquilea egleri
L8AA;Connarus perrottetii
L8AA;Doliocarpus spatulifolius
L8AA;Sloanea sinemariensis
L8AA;Erythroxylum rufum
L8AA;Chaetocarpus schomburgkianus
L8AA;Sacoglottis guianensis
L8AA;Myrcia multiflora
L8AA;Chaetocarpus schomburgkianus
L8AA;Amaioua guianensis
L8AA;Micropholis egensis
L8AA;Pouteria ramiflora
L8AA;Mollia lepidota
L8C;Xylopia amazonica
L8C;Dacryodes microcarpa
L8C;Protium pilosissimum
L8C;Protium unifoliolatum
L8C;Trattinnickia glaziovii
L8C;Moquilea egleri
L8C;Sloanea sinemariensis
L8C;Chaetocarpus schomburgkianus
L8C;Inga 
L8C;Ocotea leucoxylon
L8C;Nectandra cuspidata
L8C;Myrcia multiflora
L8C;Myrcia umbraticola
L8C;Amaioua guianensis
L8C;Simarouba amara
L8C;Vochysia vismiifolia
L8K;Xylopia amazonica
L8K;Aspidosperma excelsum
L8K;Protium pilosissimum
L8K;Dacryodes microcarpa
L8K;Trattinnickia burseraefolia
L8K;Trattinnickia glaziovii
L8K;Moquilea egleri
L8K;Davilla nitida
L8K;Sloanea sinemariensis
L8K;Chaetocarpus schomburgkianus
L8K;Sacoglottis guianensis
L8K;Miconia minutiflora
L8K;Enterolobium schomburgkii
L8K;Myrcia multiflora
L8K;Ouratea discophora
L8K;Amaioua guianensis
L8P;Guatteria schomburgkiana
L8P;Xylopia frutescens
L8P;Trattinnickia burseraefolia
L8P;Trattinnickia glaziovii
L8P;Trattinnickia rhoifolia
L8P;Protium pilosissimum
L8P;Connarus perrottetii
L8P;Diospyros sericea
L8P;Sloanea sinemariensis
L8P;Erythroxylum rufum
L8P;Inga 
L8P;Miconia gratissima
L8P;Pseudolmedia laevigata
L8P;Myrcia multiflora
L8P;Amaioua guianensis
