Ponto;Taxon;Genero;Epiteto;Taxon_binomial
SC1;Apareiodon hasemani;Apareiodon;hasemani;Apareiodon hasemani
SC1;Brycon nattereri;Brycon;nattereri;Brycon nattereri
SC1;Geophagus aff. brasiliensis;Geophagus;brasiliensis;Geophagus brasiliensis
SC1;Hoplias intermedius;Hoplias;intermedius;Hoplias intermedius
SC1;Rhamdia aff. quelen;Rhamdia;quelen;Rhamdia quelen
SC2;Brycon nattereri;Brycon;nattereri;Brycon nattereri
SC2;Harttia longipinna;Harttia;longipinna;Harttia longipinna
SC2;Rhamdia aff. quelen;Rhamdia;quelen;Rhamdia quelen
SC3;Astyanax lacustris;Astyanax;lacustris;Astyanax lacustris
SC3;Astyanax aff. scabripinnis;Astyanax;scabripinnis;Astyanax scabripinnis
SC3;Australoheros oblongus;Australoheros;oblongus;Australoheros oblongus
SC3;Brycon nattereri;Brycon;nattereri;Brycon nattereri
SC3;Characidium cacah;Characidium;cacah;Characidium cacah
SC3;Characidium lagosantense;Characidium;lagosantense;Characidium lagosantense
SC3;Hasemania nana;Hasemania;nana;Hasemania nana
SC3;Hoplias intermedius;Hoplias;intermedius;Hoplias intermedius
SC3;Knodus moenkhausii;Knodus;moenkhausii;Knodus moenkhausii
SC3;Parotocinclus robustus;Parotocinclus;robustus;Parotocinclus robustus
SC3;Phalloceros uai;Phalloceros;uai;Phalloceros uai
SC3;Piabarchus stramineus;Piabarchus;stramineus;Piabarchus stramineus
SC3;Piabina argentea;Piabina;argentea;Piabina argentea
SC4;Psalidodon rivularis;Psalidodon;rivularis;Psalidodon rivularis
SC6;Astyanax aff. scabripinnis;Astyanax;scabripinnis;Astyanax scabripinnis
SC6;Australoheros oblongus;Australoheros;oblongus;Australoheros oblongus
SC6;Hoplias intermedius;Hoplias;intermedius;Hoplias intermedius
SC7;Cetopsorhamdia iheringi;Cetopsorhamdia;iheringi;Cetopsorhamdia iheringi
SC7;Characidium cacah;Characidium;cacah;Characidium cacah
SC7;Characidium lagosantense;Characidium;lagosantense;Characidium lagosantense
SC7;Cyphocharax corumbae;Cyphocharax;corumbae;Cyphocharax corumbae
SC7;Harttia leiopleura;Harttia;leiopleura;Harttia leiopleura
SC7;Hemigrammus gracilis;Hemigrammus;gracilis;Hemigrammus gracilis
SC7;Homodiaetus sp.;Homodiaetus;;Homodiaetus
SC7;Hysteronotus megalostomus;Hysteronotus;megalostomus;Hysteronotus megalostomus
SC7;Imparfinis minutus;Imparfinis;minutus;Imparfinis minutus
SC7;Leporinus marcgravii;Leporinus;marcgravii;Leporinus marcgravii
SC7;Myleus micans;Myleus;micans;Myleus micans
SC7;Otocinclus xakriaba;Otocinclus;xakriaba;Otocinclus xakriaba
SC7;Pareiorhaphis mutuca;Pareiorhaphis;mutuca;Pareiorhaphis mutuca
SC7;Parotocinclus robustus;Parotocinclus;robustus;Parotocinclus robustus
SC7;Phalloceros uai;Phalloceros;uai;Phalloceros uai
SC7;Phenacorhamdia cf. somnians;Phenacorhamdia;somnians;Phenacorhamdia somnians
SC7;Piabarchus stramineus;Piabarchus;stramineus;Piabarchus stramineus
SC7;Piabina argentea;Piabina;argentea;Piabina argentea
SC7;Prochilodus costatus;Prochilodus;costatus;Prochilodus costatus
SC7;Psalidodon cf. eigenmanniorum;Psalidodon;eigenmanniorum;Psalidodon eigenmanniorum
SC7;Psalidodon fasciatus;Psalidodon;fasciatus;Psalidodon fasciatus
SC7;Psalidodon rivularis;Psalidodon;rivularis;Psalidodon rivularis
SC7;Serrapinnus heterodon;Serrapinnus;heterodon;Serrapinnus heterodon
